contract_id,report_date,score
3029,2023-07-30,0.0030081272
4350,2023-07-30,0.007025262
1095,2023-07-30,0.18681233
2634,2023-07-30,0.016689518
6535,2023-07-30,0.00034145513
6302,2023-07-30,0.037639856
6812,2023-07-30,0.054319303
162,2023-07-30,0.00011301041
3546,2023-07-30,0.00023833911
490,2023-07-30,0.008055766
2104,2023-07-30,0.00018423796
3895,2023-07-30,0.9736672
2035,2023-07-30,0.037744086
2060,2023-07-30,9.850661e-05
5117,2023-07-30,0.00018600623
217,2023-07-30,0.23402785
2689,2023-07-30,0.01734368
4143,2023-07-30,0.563718
2842,2023-07-30,0.001110057
3943,2023-07-30,0.34720135
7148,2023-07-30,0.019117435
2488,2023-07-30,0.00082981586
7272,2023-07-30,0.9555845
6332,2023-07-30,0.009090324
1838,2023-07-30,0.036653917
3792,2023-07-30,0.58023524
424,2023-07-30,0.0026112597
4192,2023-07-30,0.000113268696
3196,2023-07-30,0.00015574694
5384,2023-07-30,0.00020887454
6673,2023-07-30,0.0037827492
1519,2023-07-30,0.0062286058
3404,2023-07-30,0.00014297168
5799,2023-07-30,0.00398918
120,2023-07-30,0.006829957
1126,2023-07-30,0.025982937
5509,2023-07-30,0.00013319652
3257,2023-07-30,0.0019559066
4306,2023-07-30,0.00053278607
5574,2023-07-30,0.0020465653
3589,2023-07-30,0.0050334535
1333,2023-07-30,0.00451986
977,2023-07-30,0.006089568
4574,2023-07-30,0.0006670952
6102,2023-07-30,0.00070587796
3831,2023-07-30,0.011320631
1676,2023-07-30,0.020315686
6367,2023-07-30,0.00038725138
7293,2023-07-30,0.90124005
4176,2023-07-30,0.00028155246
2093,2023-07-30,0.037374437
6098,2023-07-30,4.5021374e-05
4688,2023-07-30,9.2208385e-05
5674,2023-07-30,0.021725079
346,2023-07-30,0.0077604055
4024,2023-07-30,0.038274407
90,2023-07-30,0.4754492
5021,2023-07-30,0.04756697
4070,2023-07-30,0.0022229354
5790,2023-07-30,0.015196224
6255,2023-07-30,0.14662169
2745,2023-07-30,0.7223969
1909,2023-07-30,0.00019109249
1074,2023-07-30,0.009525676
2711,2023-07-30,0.00012306373
5404,2023-07-30,0.17530768
6409,2023-07-30,0.10381762
2061,2023-07-30,0.0050505004
4619,2023-07-30,0.00037910542
6251,2023-07-30,0.0001766483
5349,2023-07-30,0.13573305
6521,2023-07-30,0.36164138
4437,2023-07-30,0.054123778
494,2023-07-30,0.00022049744
154,2023-07-30,0.046274584
6877,2023-07-30,0.18920724
5828,2023-07-30,0.06489948
7266,2023-07-30,0.0023789406
6300,2023-07-30,0.0032937527
2196,2023-07-30,0.15171117
358,2023-07-30,0.0049940743
5848,2023-07-30,0.00035162768
3947,2023-07-30,0.005716344
621,2023-07-30,0.044224363
7168,2023-07-30,0.0012010137
6676,2023-07-30,0.00043410063
3880,2023-07-30,0.0008099675
721,2023-07-30,0.14989407
6688,2023-07-30,0.5174618
3990,2023-07-30,0.03203215
29,2023-07-30,0.08515471
1147,2023-07-30,0.00092434883
5786,2023-07-30,0.00062731904
2222,2023-07-30,0.0005406141
6088,2023-07-30,0.00051186484
6210,2023-07-30,0.0014714003
